StudyHours,Attendance,PreviousScore,AssignmentScore,WritingSkills,ReadingSkills,ComputerSkills,PercentScore,Grade,Pass/Fail
2.9,79.0,49.8,32.6,2,3,2,43.84,F,Fail
5.8,76.3,62.1,27.6,10,4,2,66.5,B,Pass
4.7,67.6,36.9,31.0,8,8,2,57.44,C,Pass
4.0,74.7,61.3,57.9,7,5,3,62.48,B,Pass
1.8,68.3,44.2,90.8,10,7,7,62.7,B,Pass
1.8,82.9,49.4,44.7,4,5,9,52.54,C,Pass
1.3,91.8,63.5,55.3,7,1,1,47.55,F,Fail
5.3,89.3,92.0,22.7,1,2,2,61.54,B,Pass
4.0,67.0,70.5,68.0,8,2,1,61.53,B,Pass
4.5,75.5,31.2,47.2,1,7,1,49.43,F,Fail
1.1,50.5,40.0,73.5,8,7,10,55.48,C,Pass
5.8,93.5,34.4,65.7,4,1,9,65.0,B,Pass
5.2,62.3,43.0,78.0,9,5,3,66.48,B,Pass
2.1,72.1,54.1,82.0,2,2,7,52.43,C,Pass
1.9,57.6,42.3,39.2,7,4,4,44.82,F,Fail
1.9,83.9,62.3,60.6,7,10,4,61.66,B,Pass
2.5,77.3,87.7,64.6,2,1,2,54.34,C,Pass
3.6,68.2,87.8,54.9,9,3,1,64.4,B,Pass
3.2,76.8,53.8,50.8,5,7,8,61.55,B,Pass
2.5,58.4,52.9,95.7,8,4,2,57.42,C,Pass
4.1,88.8,82.2,28.9,8,7,8,73.16,B+,Pass
1.7,63.3,59.1,29.9,5,7,5,49.39,F,Fail
2.5,80.8,97.9,69.3,5,7,6,70.95,B+,Pass
2.8,95.0,61.1,39.5,3,10,2,56.9,C,Pass
3.3,51.9,47.0,99.9,4,8,5,62.12,B,Pass
4.9,69.4,30.7,26.7,3,3,3,47.22,F,Fail
2.0,56.7,96.8,79.3,2,9,9,69.76,B,Pass
3.6,95.4,38.3,77.6,10,2,10,67.16,B,Pass
4.0,68.0,42.3,78.5,8,10,9,72.15,B+,Pass
1.2,60.7,32.7,73.7,1,6,7,44.1,F,Fail
4.0,83.8,62.5,26.3,3,3,2,51.95,C,Pass
1.9,77.2,58.6,46.1,9,3,3,51.88,C,Pass
1.3,90.8,87.1,28.4,2,2,7,51.32,C,Pass
5.7,87.7,68.9,72.6,7,8,4,78.68,B+,Pass
5.8,98.7,70.8,38.0,5,5,2,68.47,B,Pass
5.0,54.5,85.3,64.0,10,6,5,77.38,B+,Pass
2.5,54.0,70.8,99.2,6,6,2,61.98,B,Pass
1.5,95.4,69.6,27.0,2,2,9,49.99,F,Fail
4.4,97.8,95.0,94.1,6,3,7,81.24,A,Pass
3.2,70.3,60.6,56.6,3,1,1,48.47,F,Fail
